Name,Email,Age,Gender,Location,Item purchased,Purchased date,Category,Quantity,Price,Last purchase,Frequency of purchase,Preferred Brands,Discount sensitivity,Browsing history,Ratings
Cindy Malone,aellis@example.net,49,Female,Marcusview,Shoes,10-05-2024,Clothing,2,324.54,27-12-2023,10,Adidas,Medium,['Home Improvement'],4
Erik Moore,jeremydavis@example.com,51,Other,East James,Sofa,30-01-2024,Furniture,1,465.72,08-04-2023,12,Serta,Medium,"['Sports & Outdoors', 'Home Improvement', 'Groceries', 'Groceries']",3
Zachary White,leahmoreno@example.org,64,Other,Delacruzton,Fishing Rod,10-01-2024,Sports & Outdoors,5,227.88,14-06-2023,6,Ugly Stik,High,"['Electronics', 'Electronics', 'Beauty', 'Appliances', 'Health & Wellness']",5
Todd Sims,scottsara@example.com,62,Other,Byrdstad,Washer,19-01-2024,Appliances,4,339.26,14-07-2023,15,Samsung,Medium,"['Home Improvement', 'Electronics']",2
Kimberly Hunt,ronald70@example.com,66,Female,West Katherine,Butter,04-06-2024,Groceries,4,216.42,03-04-2024,9,Great Value,Medium,"['Health & Wellness', 'Electronics', 'Beauty']",4
Paul Carr,cameronclark@example.org,57,Female,South Luis,Bed,22-02-2024,Furniture,3,154.07,28-08-2023,9,Mainstays,Medium,"['Toys', 'Sports & Outdoors', 'Toys']",2
Deborah Anderson,heiditaylor@example.net,41,Male,Ashleychester,Pain Relief,04-06-2024,Health & Wellness,4,190.19,11-01-2024,5,Advil,Medium,"['Home Improvement', 'Clothing', 'Home Improvement', 'Appliances']",3
James Smith,patricia47@example.org,21,Male,New Richard,Car,11-01-2024,Toys,4,152.87,27-07-2023,13,Disney,High,"['Groceries', 'Electronics']",4
Timothy Ward,christopher18@example.org,34,Female,North Lisa,Doll,15-06-2024,Toys,4,477.32,10-06-2024,18,Barbie,High,"['Sports & Outdoors', 'Home Improvement', 'Toys', 'Sports & Outdoors']",3
Emily Fowler,perezjoe@example.com,62,Other,Josephport,Tool Set,15-05-2024,Home Improvement,4,285.03,14-01-2024,17,Kobalt,Low,"['Appliances', 'Appliances', 'Groceries', 'Beauty', 'Home Improvement']",4
Erin Clarke,yrodriguez@example.com,67,Female,Morrisonshire,Drill,02-08-2024,Home Improvement,5,351.18,11-02-2024,11,Makita,High,"['Sports & Outdoors', 'Toys', 'Sports & Outdoors']",3
Gabriella Bauer,youngevelyn@example.net,46,Other,South Henrymouth,Washer,12-02-2024,Appliances,2,413.07,10-03-2023,16,Whirlpool,High,"['Sports & Outdoors', 'Electronics', 'Toys', 'Beauty', 'Furniture']",4
Michael Wilson,sarahmoses@example.net,68,Other,New Chadberg,Bike,18-03-2024,Sports & Outdoors,3,54.42,26-09-2023,18,Mongoose,High,['Sports & Outdoors'],1
Eric Gonzalez,paul23@example.org,45,Male,Obrienport,Laptop,29-03-2024,Electronics,2,314.76,07-12-2023,6,HP,High,"['Health & Wellness', 'Appliances']",4
Daniel Brown,iyoung@example.net,42,Other,Port Aaron,Jacket,10-04-2024,Clothing,1,89.07,04-01-2024,18,Carhartt,Low,['Beauty'],5
Joshua Knight,cindylindsey@example.com,69,Female,Maryfort,Drill,08-04-2024,Home Improvement,2,112.43,28-11-2023,8,Black+Decker,High,"['Health & Wellness', 'Toys', 'Electronics', 'Home Improvement', 'Appliances']",3
Alicia Garner,gwelch@example.com,26,Other,Harrisonshire,Washer,16-02-2024,Appliances,4,241.74,10-03-2023,1,GE,Medium,"['Groceries', 'Home Improvement']",4
Anthony Hawkins,allenryan@example.net,36,Other,West Robynshire,Shirt,20-02-2024,Clothing,3,252.25,12-06-2023,4,Hanes,Low,"['Health & Wellness', 'Groceries']",3
Anna James,nguyenryan@example.net,28,Female,South Spencershire,Headphones,05-02-2024,Electronics,5,37.73,08-09-2023,10,Beats,High,"['Electronics', 'Beauty', 'Home Improvement']",2
Cheryl Porter,daviskevin@example.net,60,Other,Lake Kenneth,Pain Relief,27-04-2024,Health & Wellness,1,189.92,25-09-2023,20,Bayer,High,"['Groceries', 'Toys', 'Sports & Outdoors', 'Health & Wellness', 'Appliances']",3
Robert Shelton,sharon09@example.org,28,Male,West Glenn,Milk,15-04-2024,Groceries,1,326.94,16-06-2023,8,Horizon,High,['Beauty'],4
David Higgins,katie34@example.net,53,Other,Lake Susan,Drill,16-04-2024,Home Improvement,4,270.84,27-02-2024,5,Bosch,High,"['Clothing', 'Clothing', 'Health & Wellness', 'Electronics', 'Health & Wellness']",2
Andrew Green,brownsandra@example.com,42,Female,Lake Katherineville,Paint,18-07-2024,Home Improvement,1,260.68,07-12-2023,10,Sherwin-Williams,Low,"['Groceries', 'Toys', 'Furniture', 'Sports & Outdoors']",2
Kathleen Hamilton,noblelinda@example.net,66,Female,South Eugene,Fishing Rod,01-01-2024,Sports & Outdoors,5,300.01,07-11-2023,16,Shakespeare,Medium,"['Electronics', 'Sports & Outdoors']",4
Daniel Parrish,annettelopez@example.org,41,Female,Aprilburgh,Butter,25-01-2024,Groceries,5,421.9,03-12-2023,3,Kerrygold,High,"['Clothing', 'Sports & Outdoors', 'Electronics', 'Clothing', 'Furniture']",3
Julia Clark,schroederjoseph@example.net,36,Male,East Christopher,Hair Care,27-02-2024,Beauty,5,367.19,29-06-2023,2,Tresemme,High,['Beauty'],4
Jeremy Wells,kholmes@example.com,35,Other,Port Barbaraview,Lego,04-04-2024,Toys,3,177.12,28-06-2023,2,Lego,Medium,['Appliances'],2
Elizabeth Gardner,hwhite@example.org,48,Other,South Crystalville,Dryer,08-01-2024,Appliances,3,87.06,11-02-2023,6,LG,Low,"['Home Improvement', 'Toys', 'Toys', 'Beauty', 'Appliances']",2
Elizabeth Hopkins,jennifer18@example.org,54,Female,Gonzalezfort,Laptop,27-07-2024,Electronics,3,474.42,06-06-2024,10,HP,High,"['Electronics', 'Furniture', 'Groceries', 'Clothing', 'Toys']",3
Robert Adams,phamtiffany@example.org,67,Male,North Samuel,Butter,15-01-2024,Groceries,4,147.91,03-02-2023,11,Great Value,Medium,"['Beauty', 'Electronics', 'Clothing', 'Toys']",3
Jeremiah Esparza,kathleentran@example.org,56,Male,New Georgemouth,Eggs,15-03-2024,Groceries,1,58.17,13-05-2023,2,Vital Farms,Low,['Furniture'],4
Sarah Mcguire,thomasjones@example.net,28,Female,Lake Tonyaburgh,Laptop,19-05-2024,Electronics,3,444.98,08-12-2023,6,Dell,High,"['Appliances', 'Clothing', 'Beauty']",2
Ashley George,suarezcynthia@example.net,35,Male,Lake Valerie,Skincare,14-04-2024,Beauty,4,74.39,07-08-2023,10,CeraVe,Medium,['Beauty'],3
Connie Velazquez,williamsashley@example.net,18,Female,Scottfort,Makeup,23-02-2024,Beauty,5,309.3,15-08-2023,6,L'Oreal,Low,['Beauty'],4
Amanda Lopez,richardstraci@example.org,67,Other,Schneidermouth,Tent,02-08-2024,Sports & Outdoors,3,55.13,07-12-2023,11,Wenzel,Medium,"['Sports & Outdoors', 'Electronics', 'Toys']",2
Jessica Stephenson,hmartinez@example.org,50,Other,East Michaelland,Bike,18-04-2024,Sports & Outdoors,3,137.61,09-12-2023,2,Trek,Low,['Beauty'],4
Jasmin Nguyen,tmills@example.com,49,Male,East Becky,Table,04-04-2024,Furniture,3,436.16,06-04-2023,6,Better Homes & Gardens,Medium,"['Furniture', 'Toys', 'Beauty', 'Furniture', 'Electronics']",1
Jesse Powell,hbuck@example.net,35,Male,Port Jenniferfurt,Makeup,05-08-2024,Beauty,3,332.3,03-04-2024,16,Revlon,Low,"['Furniture', 'Electronics', 'Electronics', 'Toys', 'Health & Wellness']",4
Daniel Sims,aaronholmes@example.com,55,Female,South Mike,Puzzle,02-03-2024,Toys,5,41.44,04-07-2023,1,Ravensburger,High,['Sports & Outdoors'],2
Connor Ellis,gclark@example.net,55,Female,West Stephenborough,Shirt,18-05-2024,Clothing,2,56.97,14-03-2024,6,Hanes,Medium,"['Electronics', 'Electronics', 'Health & Wellness']",3
Carolyn Cabrera,amullen@example.org,67,Male,Lisatown,Tool Set,24-04-2024,Home Improvement,4,466.85,21-06-2023,17,Kobalt,Medium,['Toys'],3
Walter Smith,lovejames@example.com,40,Female,Sheriville,Eggs,11-06-2024,Groceries,2,324.71,23-12-2023,18,Great Value,Medium,"['Home Improvement', 'Appliances', 'Electronics', 'Health & Wellness']",2
Timothy Ross,patrickhawkins@example.net,48,Female,Ethanville,First Aid,05-05-2024,Health & Wellness,4,28.8,27-06-2023,11,Neosporin,Low,"['Appliances', 'Toys', 'Appliances', 'Health & Wellness', 'Beauty']",2
Jason Williams,tracy12@example.org,45,Female,New Andrewberg,Bed,22-03-2024,Furniture,2,409.25,14-01-2024,4,Better Homes & Gardens,Low,"['Sports & Outdoors', 'Toys', 'Groceries', 'Furniture', 'Sports & Outdoors']",4
Karen Johnson,brendajohnson@example.com,22,Female,North Robertside,Bike,15-01-2024,Sports & Outdoors,1,216.55,24-05-2023,7,Mongoose,Medium,"['Clothing', 'Clothing', 'Electronics', 'Clothing', 'Health & Wellness']",3
Loretta Miller,pcline@example.net,40,Female,Samanthatown,Jacket,06-04-2024,Clothing,1,87.62,24-01-2024,16,North Face,High,"['Sports & Outdoors', 'Health & Wellness', 'Toys']",4
Don Adams,bradley46@example.com,42,Female,Lake Francis,Pain Relief,17-04-2024,Health & Wellness,4,278.38,08-06-2023,14,Bayer,High,"['Sports & Outdoors', 'Home Improvement']",3
Patricia Long,lindagonzales@example.org,49,Female,Shermantown,Fragrances,27-04-2024,Beauty,5,150.84,25-11-2023,3,Chanel,Medium,"['Beauty', 'Home Improvement']",3
Ashley Cole,phillipsdanielle@example.com,48,Other,Lake Michelle,Kayak,04-06-2024,Sports & Outdoors,2,250.09,27-04-2024,18,Lifetime,High,"['Beauty', 'Electronics', 'Furniture']",3
Logan Jones,lewisfelicia@example.org,64,Male,Davidmouth,Tent,23-07-2024,Sports & Outdoors,5,495.71,26-11-2023,12,Wenzel,High,"['Sports & Outdoors', 'Furniture', 'Electronics', 'Beauty']",2
Christopher Walker,obrown@example.com,56,Female,Michaelburgh,Washer,21-05-2024,Appliances,2,202.59,13-06-2023,10,LG,Medium,"['Home Improvement', 'Home Improvement']",4
Sarah Giles,christopher88@example.org,28,Female,Port Cheryl,Dryer,18-06-2024,Appliances,1,299.27,24-04-2024,19,GE,Medium,"['Sports & Outdoors', 'Beauty', 'Beauty', 'Furniture', 'Health & Wellness']",3
Stephen Berry,roymegan@example.com,58,Other,Derrickview,Smartphone,29-02-2024,Electronics,5,388.7,10-09-2023,19,Samsung,Low,['Health & Wellness'],2
Curtis Snyder,megan70@example.com,47,Female,Lake Courtneyhaven,Washer,01-04-2024,Appliances,2,365.32,28-03-2024,15,Samsung,Medium,"['Home Improvement', 'Groceries']",1
Melissa Williams,zthompson@example.com,22,Other,East Karen,Milk,18-05-2024,Groceries,3,471.74,26-11-2023,20,Horizon,Low,"['Beauty', 'Furniture', 'Beauty']",3
Preston Kelly,frank49@example.org,19,Female,West Tonyland,Doll,19-06-2024,Toys,4,283.49,30-06-2023,6,Disney,Low,"['Home Improvement', 'Toys', 'Home Improvement', 'Electronics', 'Beauty']",3
Kenneth Salazar,dfreeman@example.com,33,Other,Lake Samanthashire,Bread,15-02-2024,Groceries,3,197.32,05-12-2023,17,Nature's Own,Medium,"['Groceries', 'Health & Wellness']",3
Marco Duncan,umartinez@example.com,48,Female,Hunterside,Bike,29-05-2024,Sports & Outdoors,5,421.82,16-04-2024,2,Trek,Low,"['Toys', 'Clothing', 'Appliances']",4
Jason Reyes,catherinewilson@example.net,19,Male,South Carriemouth,TV,13-02-2024,Electronics,2,341.66,28-11-2023,2,Samsung,High,"['Sports & Outdoors', 'Groceries', 'Beauty', 'Sports & Outdoors']",2
Heidi Harmon,piercemelissa@example.net,56,Male,Lake Joel,Table,19-07-2024,Furniture,5,78.6,29-04-2024,19,Sauder,Low,"['Furniture', 'Electronics']",1
Kayla Sullivan,marcuscraig@example.org,28,Female,Justinland,Laptop,09-02-2024,Electronics,3,271.79,19-02-2023,15,Lenovo,Medium,['Health & Wellness'],2
John Sullivan,mariahmoore@example.net,26,Male,Susanland,Jacket,27-05-2024,Clothing,5,494.03,10-01-2024,18,Carhartt,Medium,"['Appliances', 'Sports & Outdoors', 'Groceries', 'Sports & Outdoors']",2
Paul Smith,acollins@example.com,41,Female,Lake Claudiahaven,Tool Set,09-06-2024,Home Improvement,4,487.85,02-05-2024,18,Stanley,Medium,"['Health & Wellness', 'Health & Wellness']",2
Megan Martin,cynthia11@example.com,48,Other,New Travis,Skincare,30-04-2024,Beauty,5,43.62,02-08-2023,20,Aveeno,High,"['Toys', 'Appliances', 'Beauty']",2
Benjamin Gomez,scottthompson@example.org,18,Other,Amandaland,Bed,13-05-2024,Furniture,2,424.24,11-01-2024,16,Mainstays,High,"['Toys', 'Appliances']",4
Traci Bush,darrellramirez@example.net,67,Male,Kristymouth,Paint,10-05-2024,Home Improvement,1,329.87,02-03-2024,8,Valspar,Medium,"['Beauty', 'Clothing', 'Furniture', 'Sports & Outdoors', 'Electronics']",4
Donald Morgan,mtravis@example.org,30,Other,South Margaretshire,Puzzle,20-03-2024,Toys,1,345.21,18-10-2023,4,Ravensburger,Low,"['Electronics', 'Groceries', 'Electronics', 'Beauty', 'Sports & Outdoors']",2
Stephanie Barker,robertmerritt@example.org,47,Other,Foleyshire,Eggs,20-04-2024,Groceries,4,467.52,12-05-2023,14,Vital Farms,Medium,['Electronics'],4
Robert Williams,laurengriffin@example.org,62,Other,Lake Bruceburgh,Bed,22-04-2024,Furniture,5,331.8,30-09-2023,11,Mainstays,Medium,['Groceries'],4
Michael Rodriguez,sescobar@example.org,50,Other,New Meredithberg,Smartphone,17-02-2024,Electronics,4,418.87,27-02-2023,6,Samsung,High,"['Electronics', 'Clothing', 'Furniture']",2
Raymond Miller,ashley02@example.org,37,Female,West Debra,Refrigerator,19-01-2024,Appliances,2,102.48,30-07-2023,8,GE,High,"['Appliances', 'Home Improvement', 'Groceries']",4
Jessica Brewer,sean85@example.net,18,Female,South Sydneymouth,Jeans,13-04-2024,Clothing,3,77.16,15-02-2024,16,Levi's,High,"['Appliances', 'Clothing', 'Clothing', 'Toys', 'Groceries']",3
Deborah Miranda,mwang@example.com,54,Female,Lake Danielland,Makeup,20-02-2024,Beauty,5,214.75,28-12-2023,6,Maybelline,High,"['Health & Wellness', 'Groceries', 'Sports & Outdoors', 'Furniture']",1
Kelli Sullivan,tracyturner@example.net,62,Other,North Megan,Sofa,16-06-2024,Furniture,2,220.01,25-08-2023,19,DHP,High,"['Home Improvement', 'Clothing']",2
Patricia Harding,lauriesmith@example.com,25,Other,Port Brenda,Kayak,15-02-2024,Sports & Outdoors,4,375.24,22-04-2023,7,Pelican,High,"['Health & Wellness', 'Beauty', 'Groceries']",2
Joseph Jones,carol68@example.org,43,Other,Stephanieberg,Car,02-07-2024,Toys,1,464.35,30-01-2024,12,Matchbox,High,"['Clothing', 'Home Improvement', 'Sports & Outdoors', 'Groceries', 'Toys']",2
David Parker,jeffreygomez@example.org,49,Male,North Elizabeth,Drill,08-03-2024,Home Improvement,2,107.81,10-05-2023,17,Black+Decker,High,"['Health & Wellness', 'Sports & Outdoors', 'Sports & Outdoors', 'Health & Wellness', 'Beauty']",4
Leroy Bailey,russellrobinson@example.com,42,Male,Brittneyborough,Smartphone,13-01-2024,Electronics,4,401.7,14-05-2023,8,Apple,Medium,"['Health & Wellness', 'Electronics', 'Toys', 'Furniture']",4
Jamie Michael,ericodom@example.org,28,Other,Lisaside,Car,17-01-2024,Toys,3,121.64,31-01-2023,12,Matchbox,Low,"['Clothing', 'Appliances']",1
Sandra Harrison,ruizamy@example.com,53,Other,Port Robin,Skincare,05-07-2024,Beauty,1,302.58,09-12-2023,13,Olay,High,"['Sports & Outdoors', 'Beauty', 'Health & Wellness', 'Home Improvement']",2
Robert Lewis,davidmaria@example.com,45,Other,Brandonbury,Chair,24-03-2024,Furniture,4,438.7,08-01-2024,2,Better Homes & Gardens,Low,"['Appliances', 'Home Improvement']",2
Jane Griffin,martinezbrooke@example.com,35,Male,Brownborough,Shoes,07-02-2024,Clothing,3,234.45,14-05-2023,14,Puma,High,"['Sports & Outdoors', 'Electronics', 'Furniture']",2
Zachary King,lisa19@example.net,25,Female,Boyleberg,Butter,04-08-2024,Groceries,5,458.33,03-12-2023,3,Great Value,Medium,"['Health & Wellness', 'Beauty', 'Home Improvement']",4
Elizabeth Hughes,bradley44@example.net,62,Male,Fowlerport,Fragrances,22-07-2024,Beauty,1,50.65,24-11-2023,9,Versace,High,['Beauty'],3
Sheila Hernandez,russellshelby@example.org,24,Other,Brianberg,Bread,26-06-2024,Groceries,1,458.07,16-01-2024,2,Wonder,Low,"['Toys', 'Sports & Outdoors']",2
Kathryn Torres,kimberly31@example.net,30,Other,Port Natalie,Jacket,08-03-2024,Clothing,5,154.24,30-04-2023,17,Columbia,High,"['Groceries', 'Beauty', 'Groceries', 'Groceries', 'Sports & Outdoors']",3
Michael Eaton,lewistanya@example.org,58,Other,South Christopher,Microwave,03-07-2024,Appliances,5,140.5,02-09-2023,7,GE,High,"['Groceries', 'Groceries', 'Sports & Outdoors', 'Furniture']",3
Veronica Gould MD,ugilbert@example.net,41,Other,Leestad,Fishing Rod,07-07-2024,Sports & Outdoors,4,180.34,29-12-2023,17,Ugly Stik,Low,"['Furniture', 'Appliances', 'Toys']",3
Erica Perez,mmitchell@example.net,24,Other,Christinebury,Tool Set,07-03-2024,Home Improvement,2,187.41,04-06-2023,15,Husky,Medium,"['Health & Wellness', 'Toys']",4
Brandi Vargas,denisedean@example.org,27,Other,Mariaside,Paint,16-04-2024,Home Improvement,4,230.26,28-12-2023,3,Behr,High,"['Clothing', 'Toys', 'Appliances', 'Toys', 'Groceries']",2
John Lopez,pvega@example.net,55,Female,Parkerfort,Bed,02-06-2024,Furniture,1,478.16,29-12-2023,1,Serta,Medium,"['Beauty', 'Groceries', 'Appliances', 'Appliances', 'Clothing']",4
Matthew Hoover,dixonpaul@example.com,49,Male,East Stacyton,Jeans,16-06-2024,Clothing,5,245.23,15-03-2024,2,Levi's,Medium,"['Sports & Outdoors', 'Electronics', 'Health & Wellness', 'Electronics']",3
David Lawson,alexandrawhite@example.net,59,Male,East Christina,Headphones,06-08-2024,Electronics,5,210.15,13-06-2024,11,Bose,Medium,"['Health & Wellness', 'Groceries']",5
Jacob Roman,cwashington@example.org,33,Male,Port Jacquelinetown,Jeans,23-01-2024,Clothing,2,110.76,25-09-2023,15,Lee,Medium,"['Health & Wellness', 'Furniture']",4
Marcus Morse,dwaynegonzalez@example.org,48,Male,North Robinbury,Chair,13-06-2024,Furniture,3,468.88,20-09-2023,1,Better Homes & Gardens,Medium,"['Beauty', 'Toys', 'Health & Wellness']",4
Jacqueline Dougherty,ufriedman@example.net,67,Female,Janicemouth,Jeans,28-02-2024,Clothing,4,142.51,13-01-2024,12,Wrangler,High,"['Furniture', 'Groceries', 'Groceries', 'Groceries', 'Groceries']",5
Melissa Thomas,samuel14@example.com,51,Female,South Caitlin,Eggs,12-07-2024,Groceries,3,19.32,26-07-2023,8,Great Value,Low,"['Health & Wellness', 'Furniture', 'Toys', 'Clothing']",1
Jessica Schneider,ytyler@example.com,40,Male,Danielstad,Smartphone,17-01-2024,Electronics,3,301.63,28-12-2023,5,Apple,High,"['Electronics', 'Sports & Outdoors']",1
Johnny Hendricks,abell@example.org,27,Other,West Michaelmouth,Pain Relief,15-01-2024,Health & Wellness,3,257.57,20-02-2023,18,Advil,High,"['Electronics', 'Health & Wellness']",5
Jody Petersen,rosstravis@example.com,38,Male,Stephanieshire,Jacket,04-07-2024,Clothing,4,497.81,08-09-2023,18,North Face,High,"['Sports & Outdoors', 'Home Improvement', 'Electronics', 'Clothing', 'Toys']",4
Joanna Jones,christina59@example.org,24,Male,Currychester,Sofa,24-06-2024,Furniture,2,343.33,06-08-2023,8,DHP,Medium,['Health & Wellness'],3
Nicole Nguyen,tpugh@example.org,34,Male,Port Malloryfurt,Vitamins,06-05-2024,Health & Wellness,5,416.41,16-06-2023,1,Nature Made,Low,"['Sports & Outdoors', 'Toys', 'Clothing']",4
Darryl Pitts,brenda68@example.org,49,Female,New Jamietown,Fragrances,12-03-2024,Beauty,2,65.1,17-04-2023,1,Versace,High,['Health & Wellness'],3
Mark Gomez,justin21@example.com,25,Other,Gillespieborough,Bike,06-02-2024,Sports & Outdoors,1,80.3,12-09-2023,10,Schwinn,Low,"['Groceries', 'Health & Wellness', 'Groceries', 'Furniture', 'Electronics']",3
Tyler Hill,schaeferdanielle@example.com,46,Other,North Tyler,Shoes,24-03-2024,Clothing,1,327.28,10-10-2023,13,Puma,High,"['Groceries', 'Groceries', 'Appliances', 'Sports & Outdoors']",1
Timothy Bennett,cathy34@example.com,29,Other,East Ronnieport,Fishing Rod,05-01-2024,Sports & Outdoors,5,74.74,14-03-2023,8,Shakespeare,High,"['Toys', 'Clothing']",4
Kristin Mcgee,ibrown@example.com,42,Female,Nelsonville,Tool Set,25-07-2024,Home Improvement,5,389.88,29-12-2023,3,Stanley,Medium,"['Electronics', 'Sports & Outdoors', 'Toys', 'Groceries']",1
Nicholas Richardson,richardyates@example.org,26,Female,Fischermouth,Makeup,06-06-2024,Beauty,4,30.17,26-07-2023,18,L'Oreal,High,['Groceries'],2
Arthur Lee,williamsonmark@example.org,27,Other,Georgeview,Doll,07-03-2024,Toys,4,202.91,18-08-2023,11,American Girl,High,"['Health & Wellness', 'Home Improvement', 'Toys']",1
Terry Walker,matthewelliott@example.com,30,Male,Huangview,TV,11-04-2024,Electronics,3,474.19,04-07-2023,2,Vizio,Medium,"['Home Improvement', 'Appliances']",3
Mark Ayala,shelbysutton@example.com,23,Other,West Ryanstad,Kayak,19-02-2024,Sports & Outdoors,1,383.69,15-07-2023,9,Old Town,Medium,"['Appliances', 'Furniture']",2
Jesse Morris,awilliams@example.org,43,Other,Port Melissa,Smartphone,03-04-2024,Electronics,4,272.96,13-06-2023,4,Google,Low,"['Beauty', 'Sports & Outdoors', 'Clothing', 'Health & Wellness', 'Clothing']",5
Molly Evans,myerslori@example.net,51,Male,Mclaughlinville,Headphones,13-02-2024,Electronics,3,161.27,31-03-2023,10,Bose,High,"['Home Improvement', 'Electronics', 'Beauty', 'Toys']",3
John Baker,dwaynejenkins@example.com,36,Male,Amandaport,Smartphone,09-05-2024,Electronics,2,400.51,25-06-2023,9,OnePlus,High,"['Groceries', 'Furniture', 'Groceries']",1
Andrea Moore,brianadams@example.org,49,Female,North Davidbury,Chair,22-07-2024,Furniture,2,148.58,20-10-2023,3,DHP,High,['Home Improvement'],5
Isaiah Krause,cfuentes@example.net,65,Female,Conniefort,Bread,14-04-2024,Groceries,5,278.81,22-09-2023,9,Sara Lee,Medium,"['Furniture', 'Sports & Outdoors', 'Clothing', 'Furniture', 'Appliances']",1
Mary Pearson,elizabeth52@example.net,52,Other,East Carrie,Chair,16-03-2024,Furniture,5,228.19,25-08-2023,15,Serta,Medium,['Sports & Outdoors'],2
Mark Simon,nbrown@example.net,30,Female,Johnmouth,Tool Set,05-03-2024,Home Improvement,1,41.33,08-01-2024,19,Craftsman,Low,"['Sports & Outdoors', 'Home Improvement', 'Clothing', 'Home Improvement']",3
Mary Sanchez,lisamooney@example.org,28,Male,Richardsbury,Paint,10-01-2024,Home Improvement,2,462.26,22-06-2023,19,Sherwin-Williams,Low,['Health & Wellness'],5
Dustin Williams,lauraflynn@example.org,31,Male,Valeriefort,Lawn Mower,07-01-2024,Home Improvement,5,166.43,28-10-2023,9,Toro,Medium,"['Electronics', 'Sports & Outdoors', 'Groceries']",2
Nicole Brown,coreysanchez@example.org,56,Other,Michaelbury,Butter,22-04-2024,Groceries,1,197.25,19-03-2024,4,Great Value,High,"['Appliances', 'Sports & Outdoors', 'Groceries', 'Home Improvement', 'Health & Wellness']",1
Sabrina Carney,holly58@example.com,55,Other,East Jenniferhaven,Bed,26-06-2024,Furniture,1,480.24,17-09-2023,4,Mainstays,Low,"['Furniture', 'Furniture', 'Home Improvement', 'Home Improvement']",5
Kathryn Schroeder,stephanie39@example.com,55,Male,Rebeccatown,Bike,25-01-2024,Sports & Outdoors,3,319.06,05-06-2023,10,Schwinn,High,"['Health & Wellness', 'Health & Wellness', 'Beauty', 'Sports & Outdoors', 'Clothing']",4
David Mitchell,ycollier@example.net,32,Male,Daviston,First Aid,15-03-2024,Health & Wellness,3,374.88,13-10-2023,13,Neosporin,Medium,"['Clothing', 'Home Improvement', 'Sports & Outdoors', 'Electronics', 'Clothing']",2
Ronald Butler,mark09@example.org,60,Other,Lake Amy,Dryer,24-07-2024,Appliances,1,171.72,06-10-2023,1,LG,Medium,"['Appliances', 'Electronics']",4
Kevin Parrish,bradley46@example.org,34,Other,East Adrianmouth,Washer,27-01-2024,Appliances,5,404.69,05-12-2023,6,LG,Medium,"['Beauty', 'Electronics', 'Groceries']",5
Tracey Lee,middletonrobert@example.com,22,Male,Lake Alexanderside,Fishing Rod,01-01-2024,Sports & Outdoors,2,420.19,01-10-2023,19,Penn,Low,"['Appliances', 'Beauty']",2
Dawn Mendez,johnlopez@example.net,25,Other,Lake Ruthshire,Doll,13-03-2024,Toys,4,406.44,25-06-2023,18,Disney,Medium,['Electronics'],4
Paul Arellano,cory63@example.net,37,Female,Huberside,Bed,17-05-2024,Furniture,4,183.05,21-07-2023,18,Mainstays,High,"['Furniture', 'Furniture', 'Electronics']",2
Cheryl Ibarra,jwood@example.net,49,Other,Jonesside,First Aid,05-08-2024,Health & Wellness,4,440.18,21-06-2024,19,Johnson & Johnson,High,"['Toys', 'Appliances', 'Clothing', 'Groceries']",3
Patricia Myers,alexis54@example.com,48,Male,New Christinaton,Washer,23-02-2024,Appliances,4,276.05,13-08-2023,1,Samsung,High,"['Beauty', 'Groceries']",2
Kevin Little,tim44@example.org,20,Other,North Wendy,Butter,31-07-2024,Groceries,4,114.46,09-09-2023,4,Kerrygold,High,"['Clothing', 'Clothing', 'Sports & Outdoors']",3
Nichole Miller,luisbell@example.org,43,Other,Prattborough,Tool Set,01-08-2024,Home Improvement,5,41.16,11-02-2024,10,Stanley,High,"['Groceries', 'Beauty', 'Sports & Outdoors', 'Furniture']",3
Pamela White,sandrawagner@example.com,49,Other,South Davidmouth,Jeans,14-02-2024,Clothing,2,314.14,12-11-2023,13,Dickies,Medium,"['Sports & Outdoors', 'Electronics', 'Electronics', 'Toys', 'Furniture']",5
Susan Levine,victorcollins@example.com,27,Male,West Timothy,Chair,29-07-2024,Furniture,4,243.87,04-10-2023,17,Serta,Medium,"['Health & Wellness', 'Appliances', 'Home Improvement']",5
Nicholas Jackson,patriciahuang@example.net,48,Male,East Jacob,Dryer,28-04-2024,Appliances,4,391.08,27-10-2023,11,Samsung,Low,"['Beauty', 'Toys', 'Appliances']",1
Travis Mcintyre,stephanie25@example.net,39,Other,Harrisshire,Chair,05-08-2024,Furniture,2,258.96,14-01-2024,7,Mainstays,Medium,"['Toys', 'Clothing', 'Electronics', 'Home Improvement']",4
Kirk Smith,bishopkyle@example.com,49,Male,Lake Rebeccafort,Skincare,28-07-2024,Beauty,2,105.18,17-09-2023,9,Neutrogena,Medium,"['Electronics', 'Clothing', 'Furniture', 'Beauty', 'Electronics']",3
Joseph Anderson,vbuchanan@example.net,22,Male,West Nicoleland,Makeup,24-04-2024,Beauty,2,496,25-08-2023,5,Revlon,Medium,['Toys'],2
Jonathan Johnson,stewartmary@example.com,36,Female,Port Darrell,Bed,17-06-2024,Furniture,2,180.38,26-07-2023,11,Serta,Low,"['Home Improvement', 'Home Improvement', 'Appliances', 'Groceries', 'Clothing']",5
